Site	 Theta	Phi
Fp1	-18	0.511111111
Fz	0	0.255555556
F3	-39	0.333333333
F7	-54	0.511111111
FC5	-69	0.394444444
FC1	-45	0.177777778
Cz	90	0
C3	-90	0.255555556
T7	-90	0.511111111
TP9	-108	0.638888889
CP5	-111	0.394444444
CP1	-135	0.177777778
Pz	180	0.255555556
P3	-141	0.333333333
P7	-126	0.511111111
O1	-162	0.511111111
POz	180	0.383333333
O2	162	0.511111111
P4	141	0.333333333
P8	126	0.511111111
TP10	108	0.638888889
CP6	111	0.394444444
CP2	135	0.177777778
C4	90	0.255555556
T8	90	0.511111111
FC6	69	0.394444444
FC2	45	0.177777778
FCz	0	0.127777778
F4	39	0.333333333
F8	54	0.511111111
Fp2	18	0.511111111
AF7	-38	0.511111111
AF3	-23	0.411111111
F1	-22	0.277777778
F5	-49	0.416666667
FT9	-72	0.638888889
FT7	-72	0.511111111
FC3	-62	0.277777778
C1	-90	0.127777778
C5	-90	0.383333333
TP7	-108	0.511111111
CP3	-118	0.277777778
P1	-158	0.277777778
P5	-131	0.416666667
PO7	-144	0.511111111
PO3	-157	0.411111111
Oz	180	0.511111111
PO8	144	0.511111111
PO4	157	0.411111111
P2	158	0.277777778
P6	131	0.416666667
TP8	108	0.511111111
CP4	118	0.277777778
CPz	180	0.127777778
C2	90	0.127777778
C6	90	0.383333333
FT10	72	0.638888889
FT8	72	0.511111111
FC4	62	0.277777778
F2	22	0.277777778
F6	49	0.416666667
AF8	38	0.511111111
AF4	23	0.411111111
